0 7,417693 0 0 0 0 348 348 348 348 0 0 0 0,02383564 -0,01704364 0,4855834
2 7,409441 0 0 0 0 348 348 348 348 0 0 0 0,02413926 -0,06824298 0,6177145
2 7,400721 0 0 0 0 348 348 348 348 0 0 0 0,02391003 -0,1057254 0,5816464
2 7,394194 0 0 0 0 348 348 348 348 255 0 0 0,02019848 -0,1081812 0,2627695
2 7,390622 0 0 0 0 348 348 348 348 255 0 0 0,01443796 -0,08781677 0,242505
2 7,382766 0 0 0 0 348 348 348 348 255 0 0 0,0106026 -0,05178199 0,5077783
2 7,379141 0 0 0 0 348 348 348 348 255 0 0 0,01067564 -0,01720182 0,1885328
2 7,393991 0 0 0 0 348 348 348 348 255 0 0 0,01156492 -0,004022313 -1,153784
2 7,429172 0 0 0 0 348 348 348 348 255 0 0 0,009246098 -0,01784988 -2,229176
2 7,480859 0 0 0 0 348 348 348 348 255 0 0 0,0105749 -0,05500742 -2,923456
2 7,541611 0 0 0 0 348 348 348 348 255 0 0 0,02125483 -0,07689483 -4,198393
2 7,623532 0 0 0 0 348 348 348 348 255 0 0 0,02022371 -0,05288349 -5,019036
2 7,717665 0 0 0 0 348 348 348 348 255 0 0 0,03041852 -0,006232585 -5,828558
2 7,82836 0 0 0 0 348 348 348 348 255 0 0 0,2323183 0,06974918 -6,782961
2 7,95136 0 0 0 0 348 348 348 348 255 0 0 0,8262117 0,1301727 -7,464993
2 8,126483 0 0 0 0 348 348 348 348 255 0 0 1,265803 0,09387668 -10,2586
2 8,319371 0 0 0 0 348 348 348 348 255 0 -1 1,540869 0,06752684 -13,04217
2 8,546186 0 0 0 0 348 348 349 348 255 0 -1 1,5642 0,01060116 -13,67614
2 8,80411 0 0 0 0 348 348 350 350 251 0 -2 1,634238 -0,03974495 -14,11897
2 9,020806 0 0 0 0 348 348 350 350 243 0 -3 1,765345 0,1251812 -14,45831
2 9,262836 0 0 0 0 348 348 351 351 235 0 -5 1,977837 0,35173 -14,50095
2 9,502337 0 0 0 0 348 348 353 353 226 0 -6 2,260961 0,5114585 -14,29187
2 9,736369 0 0 0 0 348 348 353 354 218 0 -8 2,528918 0,5994302 -13,95093
2 9,962996 0 0 0 0 348 348 354 354 209 0 -9 2,736464 0,526803 -13,49174
2 10,20213 0 0 0 0 348 348 353 357 200 0 -11 2,909857 0,3516508 -12,91813
2 10,38705 0 0 0 0 348 348 353 357 192 0 -13 3,167714 0,111941 -12,20395
2 10,58604 0 0 0 0 348 348 354 354 184 0 -14 3,330464 0,02567615 -11,87206
2 10,80213 0 0 0 0 348 348 357 355 174 0 -16 3,083908 -0,1342592 -11,76563
2 10,97876 0 0 0 0 348 348 358 357 166 0 -17 2,254373 -0,2847776 -11,79019
2 11,17945 0 0 0 0 348 348 360 359 158 0 -18 1,778563 -0,2938139 -12,10483
2 11,40761 0 0 0 0 348 348 360 362 149 0 -18 1,7445 -0,2715995 -12,49762
2 11,5967 0 0 0 0 348 348 359 363 141 0 -18 1,884986 -0,2585599 -12,61396
2 11,81115 0 0 0 0 348 348 359 361 133 0 -17 1,906785 -0,02196462 -12,9278
2 12,05044 0 0 0 0 348 348 360 360 124 0 -17 1,975724 0,167071 -13,08905
2 12,24502 0 0 0 0 348 348 362 361 116 0 -16 2,056307 0,2329451 -12,9918
2 12,46138 0 0 0 0 348 348 363 363 107 0 -14 1,988509 0,3303982 -13,0323
2 12,69935 0 0 0 0 348 348 364 364 100 0 -13 2,064708 0,3398447 -13,01896
2 12,89235 0 0 0 0 348 348 364 366 104 0 -12 2,21667 0,6878003 -12,92788
2 13,10806 0 0 0 0 348 348 363 366 108 0 -10 2,166624 0,2764619 -13,01748
2 13,34747 0 0 0 0 348 348 363 367 113 0 -9 2,221937 0,132552 -13,134
2 13,54331 0 0 0 0 348 348 364 368 117 0 -8 2,22948 0,2970603 -13,0997
2 13,76575 0 0 0 0 348 348 365 366 121 0 -6 2,154356 0,2853217 -13,51745
2 14,01765 0 0 0 0 348 348 365 365 125 0 -5 2,213032 -0,4158182 -13,87365
2 14,22236 0 0 0 0 348 348 366 366 129 0 -4 2,201209 -0,2411621 -13,6894
2 14,44656 0 0 0 0 348 348 368 365 134 0 -2 1,913778 0,3523012 -13,49173
