0 46,26867 0 0 0 0 358 353 374 364 255 0 -2 2,950622 -0,3620305 -4,271761
5 46,32923 0 0 0 0 358 352 373 364 0 0 -2 3,054035 -0,531515 -4,122189
5 46,36347 0 0 0 0 357 352 373 364 0 0 -1 3,703007 -0,4142774 -1,286237
5 46,32166 0 0 0 0 357 352 371 363 255 0 0 4,180912 -0,2740118 2,957141
5 46,28926 0 0 0 0 357 352 371 363 255 0 0 4,243565 0,1503836 1,524594
5 46,32735 0 0 0 0 357 352 370 362 255 0 0 4,065931 0,4819303 -2,993758
5 46,41259 0 0 0 0 356 352 369 362 255 0 0 3,607953 0,5789856 -5,443712
5 46,50081 0 0 0 0 356 352 369 362 255 0 1 3,574278 0,5967487 -6,10427
5 46,59285 0 0 0 0 356 352 369 362 255 0 1 3,740882 0,1669362 -4,780973
5 46,65485 0 0 0 0 355 352 368 362 255 0 1 3,851544 -0,04076086 -3,688068
5 46,72106 0 0 0 0 355 352 368 362 255 0 1 3,745945 -0,1179295 -4,158345
5 46,79389 0 0 0 0 355 352 367 362 255 0 1 3,554734 0,006046126 -4,506676
5 46,86982 0 0 0 0 355 352 367 361 255 0 1 3,475131 0,09217009 -4,693266
5 46,93346 0 0 0 0 355 352 366 361 255 0 1 3,31197 0,1273672 -4,211358
5 46,9991 0 0 0 0 355 352 365 361 255 0 1 3,180544 0,1389641 -3,967014
5 47,07179 0 0 0 0 354 351 365 361 255 0 1 3,008152 0,1951322 -4,015867
5 47,13065 0 0 0 0 354 351 365 361 255 0 0 2,7918 0,1848409 -3,968887
5 47,2053 0 0 0 0 354 351 364 361 255 0 0 2,621821 0,2914672 -4,164155
5 47,2717 0 0 0 0 354 351 364 360 255 0 0 2,403084 0,03797098 -3,998391
5 47,3309 0 0 0 0 354 351 363 360 255 0 0 2,207716 0,007004067 -4,006647
5 47,40412 0 0 0 0 354 351 363 360 255 0 0 2,032743 -0,1454457 -4,009217
5 47,46973 0 0 0 0 353 351 363 360 255 0 0 1,887469 -0,1745255 -3,947485
5 47,53106 0 0 0 0 353 351 362 360 255 0 0 1,772451 -0,1225031 -4,115853
5 47,60462 0 0 0 0 353 351 362 359 255 0 0 1,649976 -0,1237712 -4,014194
